"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"/Engine/EngineMaterials/PhAT_JointLimitMaterial.PhAT_JointLimitMaterial","24","0","2","1","0.000000","0","0"
"/Engine/EngineMaterials/GizmoMaterial.GizmoMaterial","24","0","2","1","0.000000","0","0"
"/Engine/EngineMaterials/M_InvalidLightmapSettings.M_InvalidLightmapSettings","24","0","40","1","0.000000","0","0"
"/Engine/EngineMaterials/EmissiveMeshMaterial.EmissiveMeshMaterial","24","0","2","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/DebugMeshMaterial.DebugMeshMaterial","24","0","2","1","0.000000","0","0"
"/Engine/EngineMaterials/RemoveSurfaceMaterial.RemoveSurfaceMaterial","24","0","2","1","0.000000","0","0"
"/OculusVR/Materials/OculusMR_OpaqueColoredMaterial.OculusMR_OpaqueColoredMaterial","24","0","2","1","0.000000","0","0"
"/OculusVR/Materials/OculusMR_ChromaKey.OculusMR_ChromaKey","24","0","2","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/M_VolumeRenderSphereTracePP.M_VolumeRenderSphereTracePP","24","0","4","1","0.000000","0","0"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeBillboardMaster.SpeedTreeBillboardMaster","24","0","54","1","0.000000","0","0"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeMaster.SpeedTreeMaster","24","0","84","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultParticle.DefaultParticle","24","0","54","1","0.000000","0","0"
"/Game/Spacey/Materials/PlayerShip/mat_Ship_Purple.mat_Ship_Purple","24","0","35","1","0.000000","0","0"
"/Game/Spacey/Materials/PlayerShip/mat_Ship_Emiisive_Green.mat_Ship_Emiisive_Green","24","0","115","1","0.000000","0","0"
"/Game/Spacey/Materials/PlayerShip/mat_Ship_DarkGary.mat_Ship_DarkGary","24","0","35","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/WireframeMaterial.WireframeMaterial","24","0","177","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/VertexColorMaterial.VertexColorMaterial","24","0","100","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultMaterial.DefaultMaterial","24","0","205","1","0.000000","0","0"
"/Engine/ArtTools/RenderToTexture/Materials/Debug/M_Emissive_Color.M_Emissive_Color","24","0","2","1","0.000000","0","0"
"/Paper2D/DefaultSpriteMaterial.DefaultSpriteMaterial","24","0","26","3","0.000000","0","0"
